R2,164.86,54.26,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,87.61,31.69,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,99.45,54.12,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,140.65,46.58,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,31.38,49.40,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,125.54,46.88,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,72.38,114.96,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,166.64,14.76,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,130.92,56.06,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,167.84,14.71,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,127.96,43.86,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,133.88,52.56,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,127.20,57.46,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,76.15,115.52,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,103.99,67.40,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,43.15,55.74,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,98.12,28.94,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,165.43,14.78,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,79.04,23.04,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,167.31,19.42,89.80,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,73.52,19.02,0.00,,SJ
TP1,110.66,10.14,0.00,TPTP20R,TP20R
TP10,94.19,108.94,0.00,TPTP20R,TP20R
TP11,105.84,10.14,0.00,TPTP20R,TP20R
TP12,86.54,109.04,0.00,TPTP20R,TP20R
TP13,17.99,11.84,0.00,TPTP20R,TP20R
TP14,17.94,15.54,0.00,TPTP20R,TP20R
TP15,17.99,19.44,0.00,TPTP20R,TP20R
TP16,67.44,10.04,0.00,TPTP20R,TP20R
TP17,71.99,10.04,0.00,TPTP20R,TP20R
TP2,76.68,10.14,0.00,TPTP20R,TP20R
TP3,115.60,10.14,0.00,TPTP20R,TP20R
TP4,22.12,11.51,0.00,TPTP20R,TP20R
TP5,26.34,11.84,0.00,TPTP20R,TP20R
TP6,120.76,10.34,0.00,TPTP20R,TP20R
TP7,157.59,71.22,0.00,TPTP20R,TP20R
TP8,157.71,67.82,0.00,TPTP20R,TP20R
TP9,101.73,108.92,0.00,TPTP20R,TP20R
U1,48.69,62.16,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,28.20,62.04,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,96.75,61.30,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,144.85,59.12,0.00,MAX17048G+T10,SON50P200X200X80-9N
U6,135.26,56.79,90.00,MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
